Metric ID,Group,Metrics Category,Type,Metric,Definition / Description,Formula,Numerator,Denominator,Reporting,Answers,Indicators,Benchmark,Tools,Commentary / Interpretation,Data Source - Object,Data Source - Field,Data Store - Object,Data Store - Field,Time Rule,Logic,Tags,Notes
4.29,Talent Acquisition,Intelligence,Rate,Sign-On Bonus Rate (%External Hires),Percentage of external hires receiving a sign-on bonus.,(External Hires.Sign-On Bonus / External Hires) * 100,External Hires.Sign-On Bonus ,External Hires ,,Measurement of the usage of Sign-On Bonuses.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
4.68,Talent Acquisition,Operations,Value,Candidates per Recruiter,Number of active candidates managed per recruiter during the reporting period.,Active Candidates / Recruiter FTE,Active Candidates,Active Candidates / Recruiter FTE,,"Measures candidate pipeline load per recruiter, indicating the volume of candidate relationships each recruiter is managing.",,,,,,,,,,,,
4.67,Talent Acquisition,Operations,Value,Requisitions per Recruiter,Number of open requisitions managed per recruiter during the reporting period.,Open Requisitions / Recruiter FTE,Open Requisitions,Recruiter FTE,,Measures recruiter workload capacity by showing how many active job requisitions each recruiter is responsible for.,,,,,,,,,,,,
6.04,Total Rewards,Operations,Value,Stock Options Exercised Per Employee (#Amount),Average number of stock options exercised per option-eligible employee.,Stock Options.Exercised / End of Period Headcount.Stock Option Eligible,Stock Options.Exercised,End of Period Headcount.Stock Option Eligible,,"Measures the average equity compensation value allocated per eligible employee to evaluate ownership intensity, capital allocation strategy, and long-term incentive design.",,,,A value of 100 indicates that on average eligible employees exercised 100 stock options during the reporting period.,Equity Admin — Transactions Ledger,"Options_Exercised_Count, Exercise_Date, Employee_ID, Eligibility_Status",Compensation Fact Table,"Options_Exercised, Eligible_Headcount, Reporting_Period",Exercise Date within reporting period,Count total Options_Exercised during period | Calculate Eligible Headcount at end of period | Divide exercised count by eligible headcount,"compensation, equity, utilization, reward_effectiveness, retention_signal, liquidity_behavior",• Does offering equity actually create realized value? • Is equity functioning as a meaningful retention lever? • Are employees extracting value or leaving it unexercised? • Are we over-designing a reward that employees don’t meaningfully use
6.05,Total Rewards,Operations,Value,Stock Equity Incentive Value Per Employee,The average value of equity incentives granted or earned per eligible employee.,Equity Incentive Value / Average Headcount.Equity Incentive Eligible,Equity Incentive Value,Average Headcount.Equity Incentive Eligible,,"Measures the average equity compensation value allocated per eligible employee to evaluate ownership intensity, capital allocation strategy, and long-term incentive design.",,,,"Equity Incentive Value per Employee indicates the value of stock incentives granted to or earned by each eligible employee over the course of the period, using Black-Scholes or other valuation techniques. Stock incentives may include stock options, restricted stock, stock appreciation rights, performance shares, or other compensation related to equity. A value of $10,000 indicates that on average those eligible for an equity incentive received incentives valued at $10,000.",Equity Admin — Grants Ledger,Grant Fair Value | Grant Date | Employee ID | Eligibility Flag,Compensation Fact Table,Equity_Grant_Value | Eligible_Headcount | Reporting_Period,Period-Based (Grant Date within reporting period),"Sum Equity_Grant_Value for period | Filter where Eligibility = True | Calculate Average Eligible Headcount over period | Divide total grant value by average eligible headcount | Important: If using fair value estimates (Black-Scholes), document that assumption.","compensation, equity, long_term_incentive, ownership, reward_strategy, capital_allocation","Capital Allocation Question: Are we allocating equity capital efficiently across the workforce? Incentive Strategy Question Is our equity strategy aligned with our retention and performance goals? Talent Attraction Question: Is our equity value competitive enough to attract high-impact talent? Risk & Dilution Question: Are we over-concentrating equity and increasing long-term dilution risk? Internal Equity Question: Are certain levels, roles, or functions disproportionately receiving equity? | Fair value may vary based on valuation method. Private vs public company valuation logic should be documented."
5.30,Talent Management,Intelligence,Rate,Termination -Involuntary Rate (%of Headcount),Involuntary terminations as a percentage of average headcount.,(Terminations.Involuntary / Average Headcount) * 100,Terminations.Involuntary,Average Headcount,,Measuring company initiated employee turnover for purposes of workforce planning that may include cost reduction or talent management.,,,,"Involuntary Termination Rate measures employer-initiated terminations relative to the size of the workforce. It reflects the extent to which the organization has intentionally terminated employees through performance management outcomes, organizational skill adjustment, or downsizing efforts. A result of 15% means that involuntary terminations equated to 15% of the workforce.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
5.16,Talent Management,Operations,Value,Performance-Based Pay Differential,Ratio of the direct compensation (cash compensation) of high performers to the direct compensation of non-high performers., Average Direct Compensation.High Performers / Average Direct Compensation.Non-High Performers,Average Direct Compensation.High Performers,Average Direct Compensation.Non-High Performers,,Measuring the pay differential by performance.,,,,"Performance-Based Pay Differential answers the question, “How much more do high performers earn than others?” It does so by comparing the direct compensation, including wages, bonus, and other cash compensation, of high performers to that of non-high performers. A result of 1.5 indicates that high performers earn $1.50 of direct compensation for every $1.00 earned by non–high performers.",HRIS – Perfromance Management,,,,End-of-Period Snapshot,AVG rating; filter completed reviews,performance,
4.06,Talent Acquisition,Intelligence,Ratio,Net Hire Ratio (Hire:Termination),The number of external hires for every termination during the reporting period.,External Hires / Terminations,External Hires  ,Terminations,,Monitoring headcount levels over time in support of cost management initiatives or growth strategies.,,,,Net Hire Ratio measures the total number of external hires that replace terminated employees.,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
4.39,Talent Acquisition,Intelligence,Ratio,Interviews to Hire Ratio (#Applicants) | Interviewee Ratio,Average number of applicants interviewed for each internal and external hire. |Average number of interviews conducted for hired candidates.,Applicants.Interviewed / Offers.Accepted | count( interviews_for_hires ) / count( hires ),Applicants.Interviewed | Interviews for hired candidates,Offers.Accepted | Hires,,one in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Break out by team/level; watch for panel duplication.
4.40,Talent Acquisition,Intelligence,Rate,Pass-through Rate: Interview-to-Offer Rate,Offers extended as a percentage of distinct applicants interviewed during the period. | Share of interviewed applicants who received an offer.,(Offers.Extended / Applicants/Interviewed) * 100 | count( offers.sent ) / count( applicants_interviewed ),Offers sent,Applicants interviewed,,one in a series that provides an indication of the proportion of candidates admitted through various gates in the recruiting process.,,,,"For example, a result of 10% means that 10% of interviewed applicants received job offers.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Equivalent to Interview→Offer conversion.
5.38,Talent Management,Intelligence,Ratio,Manager - Span of Control Ratio,Average number of direct reports for each supervisor.,Total Span of Control.All Supervisors / End of Period Headcount.Supervisors,Total Span of Control.All Supervisors,End of Period Headcount.Supervisors,,Organizational design analysis used to assess managerial load and automation leverage opportunities.,,,, A result of five means that supervisors have an average of five direct reports.,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
6.14,Total Rewards,Operations,Rate,Bonus Receipt Rate (%of Workforce),Employees receiving a bonus as a percentage of total employees eligible to receive a bonus.,(End of Period Headcount.Receiving Bonus / End of Period Headcount.Bonus Eligible) * 100,End of Period Headcount.Receiving Bonus,End of Period Headcount.Bonus Eligible,,"Performance Evaluation, Finance Budgeting",,,,,HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
4.04,Talent Acquisition,Intelligence,Ratio,New Position Recruitment Ratio (New role vs backfill),"Ratio of new position hires to replacement hires, including internal and external hires.",Hires.New Positions / Hires.Replacement Positions,Hires.New Positions,Hires.Replacement Positions,,rate of change of job roles.,,,,"New Position Recruitment Ratio compares the number of newly created positions to the number of replacement positions during a period. In other words, across all the organization's hires, how many are into new positions and how many are replacing people who have terminated or transferred out of existing positions? A result of this measure of .5 indicates there was one new position hire for every two replacement position hires during the period.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
4.05,Talent Acquisition,Intelligence,Rate,New Position Recruitment Rate (New role hires %of headcount),"Hires into newly created positions (including internal and external hires), as a percentage of average headcount.",(Hires.New Positions / Average Headcount) * 100,Hires.New Positions,Average Headcount,,rate of change of job roles.,,,,"New Position Recruitment Rate shows the number of newly created positions in relation to the size of the workforce. A ""new position"" is not necessarily one for which the title and the role have never existed before filling a new position may mean expanding a group of four analysts to become five analysts, or it may mean creating a Marketing Analyst position whose title did not previously exist for the organization.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
5.04,Talent Management,Intelligence,Rate,Upward Mobility Rate,"Promotions as a percentage of all internal movements, which include promotions, transfers, and demotions.",(Promotions / Internal Moovements)*100,Promotions,Internal Movements,,"Rate of promotion, relative to other movements, for purposes of workforce planning that may include talent development, quality of hire, cost reduction, time to fill, or attrition reduction.",,,,"An Upward Mobility result of 40% means that 40% of internal movements for the period were promotions, while the other 60% were transfers and demotions.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"talent development, quality of hire, cost reduction, time to fill, attrition reduction.Mobility",
4.32,Talent Acquisition,Operations,Distribution,Recruitment Expense Breakdown %,"Distribution of recruitment expenses by type, such as travel, advertising, compensation, etc. | Share of total recruiting expense by expense type.",(Recruitment Expense.[Type] / Recruitment Expense) * 100 | sum( expense_amount where type=T ) / sum( expense_amount ),Recruitment Expense.[Type],Total Recruiting Expense,,"recruiting costs Isolating and wish to monitor the relative magnitude of direct costs, such as relocation allowances and agency fees.",,,,"Recruitment costs include direct costs of filling positions, such as advertising costs, agency fees, travel reimbursement of candidates or interviewers, screening tests, and relocation allowances. Recruitment costs are also likely to include the overhead costs of running a recruiting function, such as the salaries of recruiters, the costs of maintaining a resume bank, the costs of sending communications or printing collateral, etc. In addition, recruitment expenses can include indirect productivity costs of hiring managers and other called upon to interview candidates, though such costs are difficult to quantify.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",Useful for channel ROI and budget planning.
4.36,Talent Acquisition,Experience,Score,New Hire Satisfaction with Recruiting Score,An indication of how satisfied recent hires were with the recruiting process.,Survey,Survey,Survey,,Recruiting process effectiveness for employer brand and candidate experience.,,,Listening A[i]gent,New Hire Satisfaction with recruiting represents a survey index or set of questions for recent hires to determine their satisfaction with the recruitment process.,ATS — Candidate Pipeline,Recruiting satisfaction item(s) , candidate_feedback , recruiting_satisfaction_score ,Event Date Within Period," Normalize Likert scale to 0–100 | Composite index 	 Minimum response threshold ","Recruiting, Staffing Effectiveness , Candidate Experience", Measures experience of hired employees with recruiting process.
4.54,Talent Acquisition,Intelligence,Ratio,Pipeline Coverage Ratio,Ratio of qualified active candidates in pipeline to forecasted hiring demand.,Qualified Active Candidates / Forecasted Open Roles,Qualified Active Candidates,Forecasted Open Roles,Capacity Forecasting,Recruiting Process Intelligence,,,,,,,,,,,,
4.35,Talent Acquisition,Intelligence,Rate,Pass-through Rate: Offer Acceptance,Percentage of offers that were accepted.,(Offers.Accepted / Offers.Extended) * 100 | count( offers.accepted ) / count( offers.sent ),Accepted offers,Sent offers,,staffing effectiveness,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Track reasons (expired/declined/withdrawn) as sub-dimensions.
4.27,Talent Acquisition,Intelligence,Rate,Turnover Cost Rate - < 1-Year Tenure %,Cost of turnover for employees with less than one year of tenure as a percentage of the total turnover cost.,Total Termination Value.< 1-Year Tenure / Total Termination Value,Total Termination Value.< 1-Year Tenure,Total Termination Value,,Staffing Effectiveness | Cost of low tenure employee attrition. Also as a measure of staffing effectiveness.,,,,"Turnover Cost Rate—< 1-Year Tenure measures the percentage of termination costs that come from employees with less than one year of tenure. While this measure does not indicate whether turnover costs among low-tenure employees is high or low, it does indicate the extent to which the turnover costs are driven by low-tenure employees. A result of 40% means that 40% of all termination costs are from these low-tenure employees. Most organizations experience their highest turnover among low-tenure employees. Low-tenure terminations carry with them similar costs and productivity losses to other terminations. However, low-tenure terminations might also signal potential failures of recruiting and onboarding processes. Therefore, New Hire Turnover Contribution can help an employer to approximate the magnitude of turnover costs driven by recruiting and onboarding issues as compared to other potential turnover issues. The higher the result for this measure, the greater the volume of turnover costs that might be prevented through recruiting and onboarding improvement.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
4.44,Talent Acquisition,Intelligence,Ratio,Interviews Per Hire Ratio (#Interviews:1Applicant),Average number of interviews conducted with the hired candidate for each internal and external hire.,(Interviews.Applicants.Offers.Accepted / Applicants.Offers.Accepted),Interviews.Applicants.Offers.Accepted,Applicants.Offers.Accepted,,Staffing Efficiency,,,,"Average Interviews per Hire indicates, for each person hired within a period, how many interviews that person had before being hired. For example, a result of 5.5 means that people hired had an average of 5.5 interviews during the recruiting process.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",
4.41,Talent Acquisition,Intelligence,Time,"Time-to-Start, Average (days)",Average number of days elapsed between requisition date and start date for internal and external hires. | Average calendar days from offer acceptance to candidate start date.,Total days to Start / Hires | avg( start_dt - offer_accepted_dt ),Sum of days from acceptance to start,Hires,,Staffing Timeliness,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",Track separately for relocations if needed.
4.42,Talent Acquisition,Intelligence,Time,"Time-to-Fill, Average (days)",Average number of days elapsed between requisition date and offer acceptance for internal and external hires. | Average calendar days from requisition open (or approved) to offer acceptance for filled requisitions.,Total Days to Fill / Offers.Accepted | avg( offer_accepted_dt - req_open_dt ),Total Days to Fill | Sum of days from open to offer acceptance,Offers accepted,,Staffing Timeliness,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring","If using 'posted_dt' instead of 'open_dt', note in version."
4.34,Talent Acquisition,Intelligence,Time,On-Time Talent Delivery Factor (days per accepted offer),"Average number of days that hired employee start dates differ from requisition need-by dates. | Average deviation in days between need-by date and offer acceptance date; negative = early, positive = late.",Total Days Deviation from Need-By Date / Offers.Accepted | avg( offer_accepted_dt - need_by_dt ),Total Days Deviation from Need-By Date | Sum of (accepted_dt - need_by_dt),Offers accepted,,Staffing timeliness  measurement,,,,"A result of -2,5 for On-Time Delivery Factor indicates that, on average, hires start two and a half days prior to their need-by dates. A result of 4.0 indicates that, on average, hires start four days after their need-by dates.",ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",Report distribution (p50/p75/p90). A value >0 indicates late delivery.
4.31,Talent Acquisition,Intelligence,Rate,Referral Conversion Rate,Referrals hired as a percentage of total referrals. | Hires from referrals divided by referrals submitted.,(External Hires.Referrals / Referrals) * 100 | count( referral_hires ) / count( referrals ),Hires from referrals,Referrals submitted,,Success of the Referral Program.,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring","Add stepwise conversion: Referral→App, App→Screen, etc."
3.09,Learning & Development,Operations,Distribution,Training Content Breakdown %,Distribution of training courses by content type.,(Distinct Courses Offered.[Content Type] / Distinct Courses Offered) * 100,Distinct Courses Offered.[Content Type],Distinct Courses Offered,,This breakdown measure can help an organization better understand where training resources are focused and what types of courses are emphasized.,,,,"Training Course Content Breakdown provides the percentages of various content types of distinct courses offered, such as technical, managerial, customer service, orientation, product, leadership development, or other relevant categorizations. ",HRIS – Training,,,,Event Date Within Period,COUNT completions; AVG hours per employee,"learning, development",
5.12,Talent Management,Intelligence,Ratio,Career Path Ratio (Transfers --> Promotions),Number of employees internally promoted for every employee internally transferred to a new position.,Promotions / Transfers,Promotions,Transfers,,"To gauge the success of internal development of managers, performance management process controls, or other workforce planning.",,,,"Career Path Ratio indicates the ratio of promotions to transfers that occurred within a period. A Career Path Ratio of .5 (i.e, a ratio of 1:2) means that there were two transfers for each promotion that occurred within the period.",HRIS — Employee Snapshot,,,, Last 4 completed quarters ,COUNT internal job changes; filter promotion flag,"mobility, internal movement, Mobility",
6.09,Total Rewards,Experience,Index,Compensation Satisfaction Index,A relative measure of employees satisfaction with compensation.,Survey,Survey,Survey,Employee Satisfaction,Track perceived fairness and competitiveness of compensation and identify populations at pay dissatisfaction risk.,,,Listening A[i]gent,"Compensation Satisfaction Index is a subjective measure of employees’ satisfaction with compensation packages. Among employee survey results, many organizations find that employees report low satisfaction with compensation. Though employers may not expect high results, the measure can be tracked over time to monitor in if satisfaction is increasing or decreasing. However, these survey results can be used to compare specific employee populations by division, location, job family, age group, performance level, etc.",Survey,Compensation satisfaction item(s) , survey_responses , compensation_satisfaction_score ,Last 4 completed quarters,"Normalize Likert scale to 0–100 |  Reverse-score if needed 	 Average across compensation items 	 Require minimum response threshold 	 ","Survey, Rewards, Retention Risk 	 ","Track by job level, function, and performance tier.		"
4.43,Talent Acquisition,Operations,Value,"Sign-On Bonus Expense, Average",Average sign-on bonus received by external hires given a sign-on bonus.,Sign-On Bonus Expense / External Hires.Sign-On Bonus,Sign-On Bonus Expense,External Hires.Sign-On Bonus,,usage of sign-on bonuses,,,,,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"CNVR, recruiting, pipeline, hiring",
4.01,Talent Acquisition,Intelligence,Rate,Rehire Rate,Rehires as a percentage of total external hires.,(Rehires / External Hires) *100,Rehires,External Hires ,,"Useful for organizations that have specific initiatives around rehires, such as alumni tracking processes or alumni networks.",,,,Rehire Rate indicates the percentage of external hires during the period that are former employees of the organization.,ATS — Candidate Pipeline,,,,Event Date Within Period,COUNT distinct candidate_id; exclude withdrawn/duplicate; stage-based aggregation where applicable,"recruiting, pipeline, hiring",
1.06,Culture & Engagement,Experience,Index,Employee Retention Index,Relative measure of the likelihood that employees will remain with the organization.,Survey,Survey,Survey,Workforce Planning,What roles will we need to hire for? Are Total Rewards sufficient? Are we competitve? ,,,Listening A[i]gent,"Organizations typically measure likelihood of employee retention using survey results. Each survey will likely have a different set of questions or methodologies for measuring likelihood of employee retention. An Employee Retention Index measures the extent to which employees intend to leave the firm. It is based on survey questions assessing an employee’s intent to leave in the next year as well as actual job search behavior. Employee retention is thus distinct from employee commitment, which measures attachment to the firm and views of the firm as a great place to work. It is also distinct from employee engagement, which measures the effort and enthusiasm employees put into their daily work. employee intent to stay/leave for purposes of predicting employee turnover and/or as a tool for analytically deriving the reasons for turnover so they  can be addressed before they lead to broader turnover issues. Measure intent-to-stay or intent-to-leave to forecast turnover and identify emerging attrition risk.",Survey,Intent-to-stay / intent-to-leave item(s) , survey_responses , retention_intent_score , Last 4 completed quarters ," Reverse-score intent-to-leave items  Normalize to 0–100 	 Composite retention intent index 	 Minimum response threshold 	 ","Engagement, Sentiment, Predictive, Retention 	 ",Distinct from commitment and engagement; measures likelihood of departure.
4.69,Talent Acquisition,Intelligence,Score,Source Effectiveness Score,Weighted measure of candidate progression through the interview pipeline by recruiting source. Higher scores indicate sources producing candidates who advance further in the hiring process.,Average(Stage Rank Reached by Candidates from Source) | -OR- (Screen * 1 + HM Interview * 2 + Final * 3 + Offer * 4 + Hire * 5) / Total Candidates from Source,Average(Stage Rank Reached by Candidates from Source) | -OR- (Screen * 1 + HM Interview * 2 + Final * 3 + Offer * 4 + Hire * 5) / Total Candidates from Source,Average(Stage Rank Reached by Candidates from Source) | -OR- (Screen * 1 + HM Interview * 2 + Final * 3 + Offer * 4 + Hire * 5) / Total Candidates from Source,,Which recruiting sources produce candidates that advance furthest in the hiring process?,Higher scores indicate sources producing candidates who advance further in the hiring process.,,,,,,,,,,,
5.02,Talent Management,Intelligence,Distribution,Educational Attainment Breakdown ,"Distribution of headcount by employees’ educational attainment, e.g., high school, university, advanced degree, etc.",(End of Period Headcount.[Degree Level] / End of Period Headcount) * 100,End of Period Headcount.[Degree Level],End of Period Headcount,,Workforce characteristics - education level,,,,"Educational Attainment Breakdown depicts the percentages of the workforce that have reached various educational levels. Graphically, these data are presented as a percentage of the total workforce, i.e., a stacked bar graph. The measure provides information about the percentage of the workforce that has achieved a particular level of degree, as well as the overall distribution of educational attainment throughout the workforce.",HRIS – Training,,,,Event Date Within Period,COUNT completions; AVG hours per employee,"learning, development",
5.37,Talent Management,Operations,Rate,Staffing Rate - Managerial (%of Workforce),Managers as a percentage of total headcount at the end of the reporting period.,(End of Period Headcount.Manager / End of Period Headcount) * 100,End of Period Headcount.Manager,End of Period Headcount,,Workforce structure analysis used to evaluate management layer density and cost efficiency.,,,,"Managerial positions, for this measure, typically refer to positions with managerial titles, regardless of whether those positions involve supervisory responsibility. A result of 20% means that 20% of all employees occupy managerial positions.",HRIS — Employee Snapshot,,,,,COUNT active employees; filter employment status,"workforce, headcount, planning",
1.02,Culture & Engagement,Experience,Rate,Grievance Rate (%of Workforce),The average number of grievances filed internally per employee.,(Grievances / Average Headcount) * 100,#Grievances,Average Headcount,Retention Modeling | Engagement Correlation | Productivity Impact | Turnover Risk Forecasting,,,,,A result of 1% means that one grievance was filed for every 100 employees in headcount during the period.,HRIS — Employee Snapshot,,,, Last 4 completed quarters ,AVG score; normalize to 0–100 scale,"engagement, sentiment, workforce planning",
1.03,Culture & Engagement,Experience,Score,Employee Satisfaction with Leadership Score,"Evaluate employee trust, confidence, and satisfaction with organizational leadership effectiveness.",Survey,Survey,Survey,Retention Modeling | Engagement Correlation | Productivity Impact | Turnover Risk Forecasting,,,,Listening A[i]gent,"Employee Satisfaction with Leadership represents a survey index or set of questions for employees to express their satisfaction with the organization’s leadership. Such a measure or index may be titled differently, depending on the survey used. While the measure called Manager Quality Index relates to employees’ opinions of their direct managers, Employee Satisfaction with Leadership looks more broadly at employees’ opinions about the leadership of their business line, function, and area, as well as the leadership of the organization as a whole. The opinions solicited from relevant survey questions typically relate to leaders’ competencies and skills (e.g., communication, subject mastery, employee development, personality, decision making), their ability to inspire confidence and trust and motivate performance, and the appropriateness of the business strategy being pursued.",Survey,Leadership satisfaction item(s) , survey_responses , leadership_satisfaction_score , Last 4 completed quarters ," Normalize Likert scale to 0–100  Average leadership-related items 	 Minimum response threshold ","engagement, sentiment, Survey, Leadership, Culture ", Separate from direct manager quality metrics.
2.01,HR Operations,Operations,Rate,Self-Service Penetration Rate,HR transactions conducted via self-service as a percentage of the total number of HR transactions.,(HR Transactions Conducted via Self-Service / Number of HR Transactions) *100,HR Transactions Conducted via Self-Service,Number of HR Transactions,,,,,,,Finance — Cost Centers,,,,Event Date Within Period,COUNT distinct ticket_id; filter closed status where applicable; calculate resolution time where relevant,"hr_operations, service_delivery, sla, case_management",
2.02,HR Operations,Operations,Rate,HR Technology Expense Rate,HR technology expense as a percentage of total organization technology expense.,(HR Expense.Technology / Technology Expense) * 100,HR Expense.Technology,Technology Expense,,,,,, A result of 10% means that HR technology expenses make up 10% of total technology expenses.,Finance — Cost Centers,,,,Event Date Within Period,,"hr_operations, service_delivery, sla, case_management",
2.03,HR Operations,Operations,Rate,HR Operating Expense Rate,HR expense as a percentage of all operating expenses.,HR Expense / Operating Expense * 100,HR Expense,Operating Expense,,,,,,"HR Operating Expense Rate measures the percentage of total operating expenses that are attributed to the HR function. This measure indicates the organization’s relative investment in the HR function as compared with other operating activities. A result of 2%, for example, means that HR expenses represent 2% of the organization’s total operating expenses.",Finance — Cost Centers,,,,Event Date Within Period,,"hr_operations, service_delivery, sla, case_management",
2.04,HR Operations,Operations,Value,HR Expense Per FTE,HR expense per full-time equivalent employee.,HR Expense / FTE,HR Expense,#FTE,,,,,,"HR Expense per FTE measures the expenses associated with operating the HR function (including outsourcing costs) relative to the size of the workforce and indicates the relative investment in the HR function by the organization. A result of $3,000 means that HR expenses equate to $3,000 per full-time equivalent employee.",Finance — Cost Centers,,,,Event Date Within Period,,"hr_operations, service_delivery, sla, case_management",
2.05,HR Operations,Operations,Distribution,HR Expense Breakdown by Type,Distribution of HR expense by expense type.,HR Expense.[Expense Type] / HR Expense * 100,HR Expense.[Expense Type],HR Expense,,,,,,"Graphically, the data are presented as a percentage of total HR expenses, i.e., a stacked bar graph. Included in this metric are expenses from those functions that have an identifiable organizational connection to the Human Resources department. The expense types that constitute HR operating expenses would include: Compensation and Benefits of HR Staff, Training Investment for HR Employees, Facilities and Overhead, Travel Expenses, Technology, Outsourcing, Consultancy, Agency Costs",Finance — Cost Centers,,,,Event Date Within Period,COUNT distinct ticket_id; filter closed status where applicable; calculate resolution time where relevant,"hr_operations, service_delivery, sla, case_management",
2.06,HR Operations,Operations,Distribution,HR Expense Breakdown by Function,Distribution of HR expense by HR function.,HR Expense.[HR Function] / HR Expense * 100,HR Expense.[HR Function],HR Expense,,,,,,"Graphically, the data are presented as a percentage of total HR expenses, i.e., a stacked bar graph. Included in this metric are expenses from those functions that have an identifiable organizational connection to the Human Resources department. Expenses might include staff compensation and benefits, travel, technology, training, and other operating costs. HR functions may be considered in terms of “core” and “noncore.”  Core HR functions, those that typically fall into HR’’s area of responsibility, include: Compensation and Benefits, Staffing/Recruiting, Learning and Development, Generalists/Line Support, Industrial and Employee Relations, HR Policy, Strategy, and Organization Development, HR Function Management and Administration | Noncore functions, those that frequently report through other organizational areas, include: Payroll, Diversity, performance management, HR information management, occupational health and safety",Finance — Cost Centers,,,,Event Date Within Period,COUNT distinct ticket_id; filter closed status where applicable; calculate resolution time where relevant,"hr_operations, service_delivery, sla, case_management",
2.07,HR Operations,Operations,Ratio,HR Staffing Coverage Ratio,Number of total organization employees per HR full-time equivalent employee.,Average Headcount / HR FTE,Average Headcount,HR FTE,,,,,,Number of total organization employees per HR full-time equivalent employee.,HRIS – Attendance Ledger,,,,Event Date Within Period,COUNT distinct ticket_id; filter closed status where applicable; calculate resolution time where relevant,"hr_operations, service_delivery, sla, case_management",
2.09,HR Operations,Operations,Rate,R&D Expense Rate (%of Ops Expense),Research and development (R&D) expense as a percentage of total operating expense.,(R&D Expense / Operating Expense) * 100,R&D Expense,Operating Expense,,,,,,A result of 10% means that R&D expenses represented 10% of the organization’s total operating expenses,Finance — Cost Centers,,,, Last 4 completed quarters ,COUNT employees by org_unit; calculate ratio per defined hierarchy level,"org_design, structure, leadership_density, span_of_control",
2.11,HR Operations,Operations,Value,Throughput per FTE,Volume of completed standard work items per FTE per week.,count( completed_items ) / count( FTE ),Completed items,FTE count,,,,,,,HRIS – Performance Management,,,, Last 4 completed quarters ,GROUP by org_unit; aggregate headcount,"org_design, structure, leadership_density, span_of_control",Normalize by complexity if available.
2.12,HR Operations,Operations,Rate,Contingent Labor Rate (%Ops Expense),Other labor costs as a percentage of total operating expense.,(Other Labor Expense / Operating Expense) * 100,Contingent Labor Expense,Operating Expense,,,,,,"Other Labor, sometimes called contingent labor, is the workforce used by the organization to generate its revenue and profit but not represented as employees with a reporting system such as an HRIS.",Finance — Cost Centers,,,, Last 4 completed quarters ,COUNT employees by org_unit; calculate ratio per defined hierarchy level,"org_design, structure, leadership_density, span_of_control",
